id,context,response,tags
127,"Give Business name for DecisionResponse.scrubbedClaim.claim.charges","Charges ",bca
128,"Give Business name for Reference Data.clinicalEncounters.checkOutBillFlag","Checkout Billing Flag ",bca
129,"Give Business name for Reference Data.clinicalEncounters.checkOutProcedureCode","Checkout Procedure Code ",bca
130,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.chemicalToxicCompoundsYN","Chemical Or Toxic Compounds Involved? ",bca
131,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dialysis.chemoDrugDate","Chemo Drug Date ",bca
132,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dialysis.chemoDrugName","Chemo Drug Name ",bca
133,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.claimRuleCategory.crcChildList","ChildCRC ",bca
134,"Give Business name for Reference Data.claimAuditDetails","Claim Audit Details ",bca
135,"Give Business name for DecisionResponse.scrubbedClaim.claim.batchClaimByKey","Claim Batch By ",bca
136,"Give Business name for DecisionResponse.scrubbedClaim.claim.createdBy","Claim Created By ",bca
137,"Give Business name for DecisionResponse.scrubbedClaim.claim.createdDate","Claim Created Date ",bca
138,"Give Business name for DecisionResponse.scrubbedClaim.claim.serviceDate","Claim Date Of Service ",bca
139,"Give Business name for DecisionResponse.scrubbedClaim.claim.diagnosis.codes","Claim Diagnosis Code ",bca
140,"Give Business name for DecisionResponse.scrubbedClaim.claim.diagnosis.icdCodeAll.id","Claim Diagnosis ID ",bca
141,"Give Business name for Reference Data.claimDocumentDetails","Claim Document Details ",bca
142,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.claimFilingIndicator.id","Claim Filing Indicator ID ",bca
143,"Give Business name for DecisionResponse.scrubbedClaim.claim.claimFormat","Claim Format ID ",bca
144,"Give Business name for ClaimBKM.Is Claim Format PaperDecisionResponse","Claim Format Type ",bca
145,"Give Business name for DecisionResponse.scrubbedClaim.claim.claimFormatVersionId","Claim Format Version ID ",bca
146,"Give Business name for DecisionResponse.scrubbedClaim.claim.settings.clia.outsideFacilityFlag","Claim Level CLIA Required For Outside Facility Flag ",bca
147,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup","Claim Medical Group ",bca
148,"Give Business name for DecisionResponse.activeInsurance.workersCompensation.claimNumber","Claim Number ",bca
149,"Give Business name for DecisionResponse.scrubbedClaim.claim.status.previouslyBilled","Claim Previously Billed Flag ",bca
150,"Give Business name for Decision Context.DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.supervisingProvider.ansiSpecialtyAnsiCode","Claim Provider Ansi Speciality Code ",bca
151,"Give Business name for DecisionResponse.scrubbedClaim.claim.settings.relatedToOtherAccident","Claim Related To Other Accident ",bca
152,"Give Business name for DecisionResponse.scrubbedClaim.claim.settings.encounterCode.rhc","Claim RHC Encounter Code ",bca
153,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.claimRuleCategory.id","Claim Rule Category ID ",bca
154,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.claimRuleCategory.name","Claim Rule Category Name ",bca
155,"Give Business name for DecisionResponse.scrubbedClaim.claim.settings","Claim Settings ",bca
156,"Give Business name for DecisionResponse.scrubbedClaim.claim.claimStatus","Claim Status ",bca
157,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.claimSubmissionCategory.id","Claim Submission Category ID ",bca
158,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.claimSubmissionCategory.name","Claim Submission Category Name ",bca
159,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.clia.category","CLIA Certification Level ",bca
160,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.clia.number","CLIA Number ",bca
161,"Give Business name for DecisionResponse.scrubbedClaim.claim.settings.clia.requiredForProcedureCode","CLIA Required on Claim ",bca
162,"Give Business name for Reference Data.clinicalEncounters.closedBy","Clinical Encounter Closed By ",bca
163,"Give Business name for Reference Data.clinicalEncounters","Clinical Encounters ",bca
164,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.miscellaneousFields.ctrNumber","Clinical Trial Registry Number ",bca
165,"Give Business name for DecisionResponse.scrubbedClaim.claim.SpecialtyFieldGroup.dme.cmnFormIdentifier","CMN Form Identifier ",bca
166,"Give Business name for Decision Context.DecisionResponse.decisionProcessingElements.commonClaimTypes","Common Claim Types ",bca
167,"Give Business name for DecisionResponse.scrubbedClaim.claim.completeCharges","Complete Charges ",bca
168,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.wellChildCare.epsdtCompleteScreen","Complete EPSDT Screen ",bca
169,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCode02","Condition Code 02 ",bca
170,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCode04","Condition Code 04 ",bca
171,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCode05","Condition Code 05 ",bca
172,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCode06","Condition Code 06 ",bca
173,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCode07","Condition Code 07 ",bca
174,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCode08","Condition Code 08 ",bca
175,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCode09","Condition Code 09 ",bca
176,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCode10","Condition Code 10 ",bca
177,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCode11","Condition Code 11 ",bca
178,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCode26","Condition Code 26 ",bca
179,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCode28","Condition Code 28 ",bca
180,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCode29","Condition Code 29 ",bca
181,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCode77","Condition Code 77 ",bca
182,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCodeA4","Condition Code A4 ",bca
183,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCodeA6","Condition Code A6 ",bca
184,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCodeD7","Condition Code D7 ",bca
185,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCodeD8","Condition Code D8 ",bca
186,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.conditionCodeD9","Condition Code D9 ",bca
187,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityCodes.conditionCodes.G0","Condition Code G0 ",bca
188,"Give Business name for DecisionResponse.scrubbedClaim.claim.facilityClaimCodes.conditionCodes","Condition Codes ",bca
189,"Give Business name for DecisionResponse.scrubbedClaim.claim.corporateBillingSplitFields","Corporate Billing Split By ",bca
190,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.cptMods","Cpt Mods ",bca
191,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dialysis.creatinineAmount","Creatinine Amount ",bca
192,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dialysis.creatinineDate","Creatinine Date ",bca
193,"Give Business name for DecisionResponse.refData.crossPracticeCRMT","Cross Practice CRMT Details ",bca
194,"Give Business name for DecisionResponse.currentDate.consumer","Current Athena Date Time ",bca
195,"Give Business name for DecisionResponse.scrubbedClaim.claim","Current Claim ",bca
196,"Give Business name for DecisionResponse.scrubbedClaim.claim.currentIllnessDate","Current Illness Date ",bca
197,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.customInsuranceGroup.id","Custom Insurance Group ID ",bca
198,"Give Business name for DecisionResponse.scrubbedClaim.claim.lastSeenDate","Date Last Seen ",bca
199,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.lastWorkedDate","Date Last Worked ",bca
200,"Give Business name for DecisionResponse.scrubbedClaim.claim.patient.deceasedDate","Deceased Date ",bca
201,"Give Business name for DecisionResponse","Decision Response ",bca
202,"Give Business name for DecisionResponse.scrubbedClaim.claim.otherScrubSettings.value","Deckerville Local Rule 9 Flag ",bca
203,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.miscellaneousFields.delayReasonCode","Delay Reason Code ",bca
204,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department","Department ",bca
205,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.address","Department Address ",bca
206,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.address.street1","Department Address Line 1 ",bca
207,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.address.street2","Department Address Line 2 ",bca
208,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.billingName","Department Billing Name ",bca
209,"Give Business name for DepartmentBKM.Get Department Location(DecisionResponse.refData.departments, Decision Response.scrubbedClaim.claim.medicalGroup.providerGroup.department.id)"","Department Campus Location ",bca
210,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.chartSharingGroupId","Department Chart Sharing Group ",bca
211,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.address.city","Department City ",bca
212,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.address.county","Department County ",bca
213,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.type.fqhc","Department FQHC Flag ",bca
214,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.governmentDesignation.id","Department Government Designation ID ",bca
215,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.departmentGroupId","Department Group ID ",bca
216,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.id","Department ID ",bca
217,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.name","Department Name ",bca
218,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.departmentNumber.npi","Department NPI ",bca
219,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.departmentNumber.npiVerifiedStatusId","Department NPI Verified Status ",bca
220,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.departmentNumber","Department Number ",bca
221,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.phone","Department Phone ",bca
222,"Give Business name for (DecisionResponse.scrubbedClaim.referenceData.departments).providerGroupId","Department Provider Group ID ",bca
223,"Give Business name for Reference Data.providerNumbers.providerId","Department Provider ID ",bca
224,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.specialtyId","Department Specialty ID ",bca
225,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.address.state","Department State ",bca
226,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.typeOfBill","Department Type Of Bill ",bca
227,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.department.address.zip","Department ZIP Code ",bca
228,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.nyForm.rehabilitationDescription","Description Of Rehabilitation Services ",bca
229,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.destinationOverrides.enrollmentCategoryName","Destination Override Enrollment Category Name ",bca
230,"Give Business name for DecisionResponse.scrubbedClaim.claim.diagnosis.codeSetId","Diagnosis Code Set ",bca
231,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.discharged","Discharged ",bca
232,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.nyForm.disfigurementDescription","Disfigurement Description ",bca
233,"Give Business name for DecisionResponse.scrubbedClaim.claim.SpecialtyFieldGroup.dme","DME ",bca
234,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dme.certificationRevisionDate","DME Certification Revision Date ",bca
235,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dme.certificationType","DME Certification Type ",bca
